date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2026-02-23,1994.7776126126125,105.65557057057057,2233.9881235154394,2054.5381047765795,2054.8425535168194,2052.9058787878785,2402.5769215686273,2411.8197674418607,2076.248637546144,2086.7850250842866,75.68737657557172,0.010878821559425988,0,2,1
2026-02-24,1995.3152256186318,100.85933042212518,1994.7776126126125,2093.8120707964604,2046.399515151515,2065.216614285714,2639.072005988024,2352.5038244514108,2068.950881898589,2081.792068750924,81.29977473668399,0.15793075669148204,1,2,1
2026-02-25,1988.1100447761194,102.42455223880597,1995.3152256186318,2233.9881235154394,2043.1138124054462,2042.3922455089821,2510.7858823529414,2561.383697813121,2061.093200808685,2077.9147686985766,86.69237274726764,0.08565534603320213,2,2,1
2026-02-26,1952.5862499999998,104.35308035714286,1988.1100447761194,1994.7776126126125,2067.1112235649543,2006.4215664556962,2203.4118864468865,2664.1388888888887,2044.7324902994062,2074.069388951741,95.70548294344802,0.4545471603445972,3,2,1
2026-02-27,1960.4443531202435,99.42831050228311,1952.5862499999998,1995.3152256186318,2054.5381047765795,2037.7425705329154,2249.3439743589743,2376.0470314842582,2031.2905257770724,2068.5480877079785,100.58228133801073,0.056947728099217,4,2,1
2026-02-28,2063.237505030181,98.08372233400402,1960.4443531202435,1988.1100447761194,2093.8120707964604,2186.176104166667,2274.120064516129,2341.0965824665677,2026.922730667604,2059.76675919823,98.04666777264079,-0.0021223826502686505,5,2,1
2026-03-01,2154.6370757180157,34.31422976501305,2063.237505030181,1952.5862499999998,2233.9881235154394,2288.4582338902146,2206.3467136150234,2364.3087440381555,2015.5868666965434,2050.208105043073,70.96273517434604,-0.06688799709398274,6,3,1
2026-03-02,1983.8697504159734,68.0477703826955,2154.6370757180157,1960.4443531202435,1994.7776126126125,2054.8425535168194,2270.946535433071,2357.955765765766,2014.028600668452,2045.138619107298,71.61262895964614,-0.35594715910180685,0,3,1
2026-03-03,2117.3513513513512,31.899667359667358,1983.8697504159734,2063.237505030181,1995.3152256186318,2046.399515151515,2374.323684210526,2343.9260185185185,2031.4623329159836,2050.2066074072864,80.58956406947347,-0.6837212062963525,1,3,1
2026-03-04,2063.235829875519,68.38448132780083,2117.3513513513512,2154.6370757180157,1988.1100447761194,2043.1138124054462,2149.4458598726114,2440.8777436823107,2042.1945879301834,2051.6438943694343,78.83731366945227,-0.33234288231633835,2,3,1
2026-03-05,1919.652927631579,86.07365131578948,2063.235829875519,1983.8697504159734,1952.5862499999998,2067.1112235649543,2173.9098297213623,2552.439429928741,2037.4898275918379,2041.1111589456216,85.75526519591801,-0.17516904128553756,3,3,1
2026-03-06,2038.4019709543568,60.37153526970954,1919.652927631579,2117.3513513513512,1960.4443531202435,2054.5381047765795,2154.477328125,2339.376398809524,2048.6266301395676,2039.9585779583201,78.86742179652308,-0.3928134254245096,4,3,1
